"","vol","meanx","meany","meanz","medianx","mediany","medianz","corxy","coryz","corxz","varx","vary","varz","varxy","varyz","varxz","fftxmax","fftymax","fftzmax","specenergy","xbtwnzandy","xless10","HMPactivity"
"1","f1",26.5491462851869,49.857406552838,36.0378403322566,27,50,37,0.258285093258414,-0.449699010386028,-0.350612379292322,89.7398503788678,74.9902763734196,51.0807465802193,21.1882207766033,-27.8325518639579,-23.7382409950994,57532,108041,78094,853.086806508085,0.0175357637286571,0.053068758652515,"Brush_teeth"
"2","f1",25.021327014218,48.4431279620853,38.0651658767773,24,49,39,0.354592376799083,-0.578734520217513,-0.494459246495234,85.256958616541,78.0169278080428,45.446519426782,28.9193638157562,-34.4607022988312,-30.7783783935729,21118,40886,32127,583.488143715276,0.0248815165876777,0.0485781990521327,"Brush_teeth"
"3","f1",29.5314183123878,50.2877019748653,33.451526032316,29,51,34,0.346103698627185,-0.55672657916464,-0.391193497010906,94.8238889618917,69.9688293821784,92.2863784514998,28.1914507686392,-44.7366089747259,-36.5947942623539,65796,112041,74530,932.662326202097,0.00448833034111311,0.0309694793536804,"Brush_teeth"
"4","f1",29.7374017568192,50.3619972260749,33.2080443828017,29,52,34,0.421124412511696,-0.544185376227704,-0.434142979428697,87.2409085096546,76.5853636318147,94.1750138888711,34.4225783646672,-46.2154943347519,-39.3514480992454,64322,108933,71829,930.179287610508,0.00462320850670365,0.0254276467868701,"Brush_teeth"
"5","m1",35.5542356986558,48.9881212879025,38.0940919037199,37,51,38,0.0725129671096284,-0.224039865216481,0.0571538929354623,134.889412165817,61.7259376513259,31.0514941641589,6.61665445795776,-9.80845044016843,3.69892903524221,113738,156713,121863,856.063700216406,0.047827446076899,0.00437636761487965,"Brush_teeth"
"6","f1",25.2960028808066,49.1231544832553,33.6215340295283,25,50,35,0.319702096865702,-0.57632445256164,-0.291454821852357,93.6522642766488,91.1231560398871,66.80015571507,29.5337777430707,-44.964540575684,-23.0525579871298,70247,136415,93367,1028.74618036494,0.0219661505221462,0.0554555275477134,"Brush_teeth"
"7","m2",29.898378020523,50.5038066865276,38.6014564713671,28,51,39,0.713689288883488,-0.171818484392378,-0.186357722196018,64.8204642557287,73.5845053718891,43.3377992024921,49.2899565075377,-9.70278700311944,-9.8772691600299,90323,152572,116615,857.879973357616,0.00066203243958954,0.00066203243958954,"Brush_teeth"
"8","f1",26.6885113268608,49.2435275080906,36.2330097087379,26,50,36,0.358980860450003,-0.496258022778353,-0.314263501597368,87.7653394260149,77.6492903440427,60.0751867291651,29.6347698021974,-33.8940800666371,-22.8193373226515,65974,121730,89568,907.350070554592,0.0109223300970874,0.0364077669902913,"Brush_teeth"
"9","f1",24.8354024829796,49.3496195434521,30.3740488586304,25,51,31,0.360368723966209,-0.547939639640727,-0.349995023430543,107.933233341548,93.2330857926948,81.1036211402401,36.1501176411694,-47.6472534669809,-32.7461001278457,62014,123226,75844,1013.70413143839,0.0180216259511414,0.0668802563075691,"Brush_teeth"
"10","f1",24.6114671163575,48.2880269814503,30.068802698145,24,50,31,0.36864130011406,-0.646549560591784,-0.396408978127661,118.403647138341,115.436580620054,98.6572079114637,43.0981130508201,-68.998231276726,-42.8440415964025,72973,143174,89154,1172.94775662748,0.0263069139966273,0.0748735244519393,"Brush_teeth"
"11","f1",25.8860317460317,48.6234920634921,33.7650793650794,25,50,34,0.308250539852758,-0.561128372095164,-0.320601698816601,110.767889932304,94.3580379762787,83.10516314073,31.5137610831355,-49.6896207916849,-30.7600306471694,81541,153164,106360,1103.46189518733,0.0238095238095238,0.06,"Brush_teeth"
